Mean AQI,Stdv AQI,Sum AQI,Mean max on interval
0.0,0.0,0.0,0.0
216.27277546350817,122.13016210575432,1124618.4324102425,683.8232618474153
591.5878229950347,242.18833643337857,3076256.6795741804,1531.55576588995
321.3709942366785,153.84238763106444,1671129.1700307282,994.4776953963526
97.36402760109002,83.38762537331237,506292.94352566806,470.8422652103413
600.6939758985458,244.08790521847962,3123608.674672438,1560.1458698581312
229.27840634401193,125.98256899219162,1192247.712988862,704.1423161552121
332.9486191184085,157.79021852928454,1731332.8194157241,1016.9130116355291
111.24457991147284,88.26805929804866,578471.8155396588,490.72441126370404
0.0,0.0,0.0,0.0
608.4804127967996,244.8677843609063,3164098.1465433575,1584.050616543071
240.99569882116876,128.26282017213717,1253177.6338700776,723.2554003596235
345.1962852883838,161.96582334975156,1795020.6834995958,1033.7846639831057
125.48140696195469,93.08532407683201,652503.3162021644,515.8274456077083
7.2430373491462765,18.52247478682122,37663.794215560636,88.92191694944368
616.833090689203,247.18891061607206,3207532.0715838554,1571.117153066168
252.32295509952604,130.59575991242468,1312079.3665175354,745.1773730123211
355.87042569447624,165.89413240477538,1850526.2136112764,1057.1206351120072
138.10752399774628,96.80978173619236,718159.1247882807,540.7191603328158
29.215673753097157,55.30524108540918,151921.5035161052,191.5395793970531
624.859493290109,248.6021483562112,3249269.365108567,1568.7669834974188
366.743145590231,168.8529544302404,1907064.357069201,1084.3996192461705
264.62894825684845,135.39063070241895,1376070.530935612,796.6877629730095
150.85479445869632,100.72035182773683,784444.9311852208,575.1370502864559
42.02534392438501,57.6126323794955,218531.78840680208,278.50239400882185
632.4869424299782,249.95283724128006,3288932.1006358867,1565.8461749315572
378.320400575931,172.7326610154632,1967266.082994841,1115.4406480310356
275.72059249953475,139.33612892091057,1433747.0809975807,856.8178849763228
163.9495029743929,105.54285973295596,852537.4154668432,599.2748906732493
56.792288029374646,66.72271037967155,295319.89775274816,345.705943044614
640.5889046047188,251.0725690540397,3331062.3039445374,1574.7258843883023
389.21794682097004,175.3622958323821,2023933.3234690442,1145.5035497416154
287.43480112889637,143.13786054810984,1494660.9658702612,906.5928976443045
178.2026911449667,111.47065876598198,926653.9939538268,620.1133099627314
70.81698825503167,72.42375369316768,368248.3389261647,396.23218345411635
647.9893857671609,252.88184015749096,3369544.8059892366,1595.5122429584862
399.22376311825514,176.60432690594243,2075963.5682149266,1161.355279053598
298.9981044105574,147.07883962621713,1554790.1429348986,940.7519534016487
191.07818679144572,114.92275643313752,993606.5713155178,643.2203094929905
84.05991416870854,78.66518748132339,437111.55367728445,443.2736918729954
655.8331152422489,254.50579706759515,3410332.199259694,1615.5376854063836
410.2194282567699,180.23751860064087,2133141.0269352035,1182.6372605666847
309.78551264724115,150.05023272436816,1610884.6657656538,970.0229360504002
203.9372724034206,118.78323648106442,1060473.8164977871,661.2319469692585
97.36402760109,83.38762537331237,506292.943525668,470.84226521034117
663.4781659047077,255.1895230738506,3450086.4627044797,1630.9726572841541
421.0150928666252,182.5479212607205,2189278.482906451,1202.1163322122627
321.3709942366785,153.84238763106447,1671129.1700307282,994.4776953963526
216.27277546350817,122.13016210575432,1124618.4324102425,683.8232618474153
111.24457991147284,88.26805929804863,578471.8155396588,490.7244112637039
671.0845956644729,256.68880673445597,3489639.897455259,1641.8369514237584
430.55214346151126,184.27537058936778,2238871.1459998586,1217.9286299944306
332.9486191184085,157.79021852928457,1731332.8194157241,1016.913011635529
229.27840634401193,125.98256899219162,1192247.712988862,704.1423161552121
125.48140696195469,93.08532407683201,652503.3162021644,515.8274456077083
678.6535068385568,258.16945616593694,3528998.2355604954,1653.4585143243025
440.3844892056097,186.67789516611563,2289999.3438691706,1229.9507235116841
345.19628528838376,161.96582334975162,1795020.6834995956,1033.7846639831057
240.99569882116876,128.26282017213717,1253177.6338700776,723.2554003596235
138.10752399774626,96.80978173619236,718159.1247882806,540.7191603328157
686.3540476962818,259.58920034377564,3569041.0480206655,1655.3798395814442
448.7503608406783,188.61430733138064,2333501.876371527,1236.1089957144368
355.87042569447624,165.89413240477538,1850526.2136112764,1057.1206351120072
252.32295509952604,130.59575991242468,1312079.3665175354,745.1773730123211
150.85479445869632,100.72035182773683,784444.9311852208,575.1370502864557
693.1831283426548,259.8769129813802,3604552.267381805,1662.2629667774138
459.54848266890406,191.34159411467874,2389652.109878301,1247.1137455012151
366.743145590231,168.8529544302404,1907064.357069201,1084.3996192461705
264.6289482568485,135.39063070241895,1376070.5309356123,796.6877629730095
163.9495029743929,105.54285973295596,852537.4154668432,599.2748906732492
699.5352714408839,260.3254204912627,3637583.4114925964,1666.3831683847607
469.2594733447998,193.3450663928223,2440149.261392959,1253.1867590954535
378.320400575931,172.7326610154632,1967266.082994841,1115.4406480310356
275.72059249953475,139.33612892091057,1433747.0809975807,856.8178849763228
705.9193109567447,261.05492605783616,3670780.416975072,1670.9423213739883
178.2026911449667,111.47065876598198,926653.9939538268,620.1133099627313
478.75104420475014,196.9676257177259,2489505.429864701,1269.431760444911
389.21794682097004,175.36229583238205,2023933.3234690442,1145.5035497416154
287.43480112889637,143.13786054810987,1494660.9658702612,906.5928976443045
712.8767711515196,261.9906451543935,3706959.209987902,1672.146228968856
191.07818679144572,114.92275643313752,993606.5713155178,643.2203094929904
488.3664994410925,198.9772705644287,2539505.797093681,1282.471865748928
399.22376311825514,176.60432690594243,2075963.5682149266,1161.3552790535978
298.9981044105574,147.07883962621713,1554790.1429348986,940.7519534016487
719.5082961237895,261.9919301445222,3741443.1398437056,1678.055171834651
