Mean AQI,Stdv AQI,Sum AQI,Mean max on interval,Mean min on interval
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.7238439320532211,1.4577709389379194,3835.6489959500186,3.570817455402262,0.0
7.4356158825250365,7.602534858457725,39401.328561500166,14.2353012970311,0.0
65.78983349290758,56.04700656558661,348620.3276789172,78.7409993119127,0.0
571.7090735224903,450.94043590137096,3029486.3805956757,465.7772478398413,0.0
4967.219457761305,3729.0101018270107,26321295.906677157,2881.4318584735583,0.0
43060.41421320941,31238.40022836112,228177134.91579667,19950.060781286804,0.0
373996.6230467889,263950.1480697288,1981808105.5249343,140208.18484858854,0.0
3245450.172199946,2238746.0344201867,17197640462.487514,1024865.7475432878,0.0
28195442.699547082,19063050.10549384,149407650864.9,7669442.482753216,45.19737919255549
244881193.56909287,162626433.48662612,1297625444722.623,58389795.149875134,796.2518099722214
2128107051.943641,1390336897.1717167,11276839268249.354,455356412.5408871,16071.59028550929
18493136938.717625,11900912662.5983,97995132638264.7,3566633850.5396934,245068.2966014116
160755681836.1166,102004946101.68001,851844358049581.9,28379405760.416862,3496868.363712466
1397455315911.548,875100231441.9547,7405115719015293.0,227086562026.36127,44974050.42711939
12150302653720.85,7514473937635.567,64384453762066784.0,1830647286599.9849,546809596.4272453
105647831891508.3,64573229057846.484,559827861193102460.0,14856557232341.064,6300604107.896396
918714765387912.2,555279723589997.2,4868269541790546900.0,121043412548959.2,69916000756.18184
7989577189375182.0,4777799624867639.0,42336769526499090000.0,989620733009023.4,751110222923.0067
69485951731956520.0,41132810384021392.0,368206058227637600000.0,8113329197046491.0,7867662657232.735
604351197437189250.0,354294646641382590.0,3202456995219666000000.0,69921337022153408.0,84510683260914.58
5256571049482156000.0,3053120407973433900.0,27854569991205942000000.0,603155226763393280.0,890087318083094.1
45722616758010855000.0,26321329146865426000.0,242284146200699500000000.0,5204069261404637200.0,9217771169604904.0
397717604345674900000.0,227009980913016050000.0,2107505585427731600000000.0,44915526233678180000.0,94087717003925936.0
3459640032368485500000.0,1958583655038882400000.0,18332632531520603000000000.0,387746642197916550000.0,948357064072800380.0
30095304435933366000000.0,16904006646132120000000.0,159475018206010900000000000.0,3348311967599702000000.0,9454188635001168000.0
261804256805744960000000.0,145941056487008000000000.0,1387300756813642600000000000.0,28948622209567538000000.0,93336923212313510000.0
2277530365568960200000000.0,1260368134047264900000000.0,12068633407149920000000000000.0,250432973109751150000000.0,913546263776603000000.0
19813455115635340000000000.0,10887832151313789000000000.0,104991498657751660000000000000.0,2167037039552268200000000.0,8872695770831304000000.0
172371048693551970000000000.0,94081132776191460000000000.0,913394187027131900000000000000.0,18755792812702122000000000.0,85579119600188030000000.0
1499601692064334800000000000.0,813156546851268800000000000.0,7946389366248910000000000000000.0,162399690842265100000000000.0,820276590408725600000000.0
13046518848367100000000000000.0,7029919659970730000000000000.0,69133503377497260000000000000000.0,1408040269620460300000000000.0,7817816779862777000000000.0
113506342793445680000000000000.0,60789078879558785000000000000.0,601470110462468650000000000000000.0,12210777373925036000000000000.0,74124907049687410000000000.0
987534148372896500000000000000.0,525768633821008800000000000000.0,5232943452227979000000000000000000.0,105904014355316280000000000000.0,699502445529361500000000000.0
