Mean AQI,Stdv AQI,Sum AQI,Mean max on interval,Mean min on interval
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.7101128964223922,1.4726765087870317,3762.8882381422563,3.9229253540716904,0.0
7.956215150729804,7.446690263902798,42159.98408371723,14.943290205204317,0.0
76.78329737875588,59.18620003459136,406874.6928100274,80.96893725280145,0.0
728.9551634370117,518.7734649451779,3862733.411052725,521.9689446834758,0.0
6889.248485491591,4691.76696107789,36506127.72461994,3623.270838012465,0.0
65072.34919046336,42909.32149573966,344818378.3602654,27073.778961694836,0.0
614704.2799234691,395539.7600679758,3257317979.3144627,212731.40304341525,0.0
5807558.160229197,3662035.304789835,30774250691.054516,1716608.8349991248,0.0
54889770.85568508,34024701.85438249,290860895764.2752,14131530.11890593,0.0
518919791.11933523,316879689.5592797,2749755973141.3574,117939441.83227251,74.60637143405923
4907332739.591629,2956875920.0644736,26003956187096.043,996517231.8011163,2943.7200136095057
46418704091.063576,27631157346.563595,245972712978545.9,8517771868.904495,86149.3274765627
439177116922.2731,258514099830.3135,2327199542571125.0,73470068768.68587,1847177.4295443515
4155915336511.1,2420966092969.419,22022195368172320.0,639069099462.5256,33075100.854082324
39333758663528.67,22690797239549.965,208429587158038432.0,5594436476736.738,520739534.799113
372326908168004.6,212820872317009.75,1972960286382256640.0,49223497607964.445,7493352755.914125
3524811331865052.0,1997303392134903.2,18677975247552910000.0,435033198674249.2,100775688887.40149
33372763933867408.0,18754595515851032.0,176842276085563400000.0,3860072664517132.0,1287260398240.8796
316000250409861820.0,176189758996484512.0,1674485326921857800000.0,34402586767623540.0,15787999952025.059
2992377553820673500.0,1655931641714061820.0,15856608657695748000000.0,322697245098752700.0,196360175628256.34
28338364880596824000.0,15569549092315680000.0,150164995502282580000000.0,3029100451550515200.0,2373100307875724.0
268385445047556080000.0,146442497429752400000.0,1422174473306999600000000.0,28448193751322833000.0,28000798125608672.0
2541943244347273000000.0,1377854408591121800000.0,13469757251796200000000000.0,267296311470597440000.0,323750292989137980.0
24076472867872860000000.0,12968025673009240000000.0,127581229726858280000000000.0,2512536454105494000000.0,3678787728887590900.0
228054067446500600000000.0,122086948150104500000000.0,1208458503399006700000000000.0,23641957952981480000000.0,41178859086131120000.0
2160224432647455600000000.0,1149690696587812100000000.0,11447029268598868000000000000.0,222816507887119850000000.0,454938621190227360000.0
20463242562260373000000000.0,10829331153425966000000000.0,108434722337417730000000000000.0,2103280681035897400000000.0,4968537246257597000000.0
193848849111702870000000000.0,102029147076826010000000000.0,1027205051442913500000000000000.0,19858264882669923000000000.0,53712645815633275000000.0
1836386390774740600000000000.0,961485360350195900000000000.0,9731011484715350000000000000000.0,187507552122783800000000000.0,575415379747725200000000.0
17397065637646690000000000000.0,9062566938711075000000000000.0,92187050813889800000000000000000.0,1770617084246296800000000000.0,6114424915441674000000000.0
164815559812701540000000000000.0,85436749185740480000000000000.0,873357651447505500000000000000000.0,16728225534145073000000000000.0,64498924510453575000000000.0
1561456825872256300000000000000.0,805597963872870100000000000000.0,8274159720297087000000000000000000.0,158103608355521600000000000000.0,675892038458989300000000000.0
