Mean AQI,Stdv AQI,Sum AQI,Mean max on interval,Mean min on interval
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.6728509967570148,1.3724513251436705,3565.437431815421,4.177438290330864,0.0
1.3579462240326288,2.053787159608761,7195.7570411489,7.644233197580121,0.0
2.051001896922417,2.5043831038281588,10868.259051791889,9.613306524206148,0.0
2.7190004715357317,2.8550964641775685,14407.983498667842,12.47031648213075,0.0
3.3265777703268875,3.1738806724385107,17627.535604962177,15.248167247172233,0.0
3.975260304037412,3.488179749420509,21064.904351094247,17.028376937626078,0.0
4.62864089177399,3.828566143271769,24527.16808551037,18.472910930989297,0.0
5.254735554636816,4.099736313863155,27844.843704020488,19.844243745134964,0.0
5.932167530362491,4.474372846990057,31434.55574339084,21.02056973841502,0.0
6.576949178069324,4.789131597562423,34851.253694589344,22.14272352600662,0.00000000064354069
7.196078480458814,5.104010233028672,38132.019867951254,23.645397005333084,0.00000000476663423
7.839448427364515,5.415272166959688,41541.23721660457,24.98912882437947,0.00000002001212682
8.436673363103978,5.652786801457954,44705.93215108798,25.892804319308485,0.00000006310867538
9.02405624251596,5.902965124238225,47818.47402909207,26.562268650084594,0.00000016619988003
9.591221521762991,6.180987289568015,50823.88284382209,27.17019920383362,0.00000038455551935
10.194089327755467,6.496071016426561,54018.47934777622,27.979648033121073,0.0000008044454781
10.804901392465347,6.809707179973214,57255.17247867387,28.869788668265915,0.00000155146823678
11.404526544877603,7.1110736508937995,60432.58616130642,29.637595942924786,0.0000027987893149
11.958317053156769,7.3635156200969725,63367.122064677715,30.46628158700917,0.00000477447500874
12.563158131570216,7.690225853602953,66572.17493919058,32.689322921840045,0.00000813709144204
13.123793000578793,7.9304096926735035,69542.97911006703,34.96216566399205,0.0000132860306673
13.667462680101412,8.153929781078556,72423.88474185739,36.69385943315103,0.00002089948708303
14.215038477127212,8.39802973291717,75325.4888902971,38.2075048757226,0.00003182036223691
14.741280565375321,8.617310085323792,78114.04571592383,39.81019726583428,0.00004707444429718
15.304025003353937,8.926072060518901,81096.02849277252,40.95460778928811,0.00006788692779994
15.83678797907774,9.112609155700326,83919.13950113294,41.90733777131427,0.00009569726654625
16.345853232842554,9.311599750505673,86616.67628083269,42.940323213080895,0.00013217156749814
16.87165715063349,9.534324141129078,89402.91124120685,44.092976668992456,0.00017921145061176
17.44344548006875,9.82454348867161,92432.81759888431,45.084581931253915,0.00023895887201987
17.993507416285308,10.115500942897075,95347.59579889584,46.14863575761513,0.00031379690087428
18.516056945141724,10.298503575148992,98116.585752306,47.11142363000708,0.00040634663003604
19.0188566363483,10.55682455570782,100780.92131600964,47.67962758324603,0.00051946146867629
19.523012728844723,10.834407207092895,103452.44445014818,48.538236784144544,0.00065621952343409
20.012426062976044,11.051411613035054,106045.84570771006,49.63377562342926,0.00081991349513804
20.482519926828033,11.242069690759394,108536.87309226174,50.735460299062545,0.00101403707361889
20.969268560684586,11.495150955223819,111116.15410306762,52.39978303613029,0.00124226741753319
21.465999478468035,11.730589801970588,113748.33123640213,53.505048843445266,0.00150844428716537
21.94465479136415,11.940539045647997,116284.72573943864,54.41717581853023,0.0018165459243464
22.43585422988348,12.172180412604007,118887.59156415255,55.325634133984714,0.00217066264414372
22.919820659545145,12.393417540056772,121452.12967492972,56.211883927446564,0.00257497002253595
23.397863574695144,12.634206690375983,123985.27908230957,57.16816931198113,0.00303370295922723
23.886451193375663,12.871894178794896,126574.30487369763,58.10351360284044,0.00355113257938332
24.351929036033557,13.057434219715029,129040.87196194183,58.919675986650084,0.00413154618942356
24.81858613628015,13.269684068491783,131513.68793614852,59.70322473817342,0.00477922910956984
25.279197071138782,13.485439250820312,133954.4652799644,60.524892818647565,0.00549844690756479
25.734501067778513,13.67093283945245,136367.12115815835,61.27945413810513,0.00629342703887855
26.148354272675736,13.837281665005488,138560.12929090872,61.96859783994898,0.00716833989449716
26.60207234605856,14.047817804585495,140964.3813617643,62.83622115231874,0.00812728005104664
27.05838017528044,14.272323499323745,143382.35654881105,63.871427095627745,0.0091742487027734
27.482965403357042,14.482805075725997,145632.23367238897,65.02436290136838,0.0103131383771217
27.907095881910205,14.635874305876149,147879.7010782422,66.12279962480105,0.01154772127932074
28.358851077115418,14.838326741945766,150273.5518576346,67.26937803540486,0.01288164213441891
28.76726060111366,15.011560350359337,152437.71392530127,68.4224637713018,0.01431841561466603
29.19233568035233,15.18292790961395,154690.186770187,69.22751268844851,0.01586142742899582
29.620118041533996,15.348839143316697,156957.00550208864,69.95417200725687,0.01751393824117939
30.037151509146522,15.515726983455997,159166.8658469674,70.69745338346927,0.01927908954343839
30.478034295202523,15.690400184905458,161503.10373027818,71.01495886123872,0.0211599102235762
30.883647802425966,15.87546969671915,163652.4497050552,71.72012167917022,0.02315932204718358
31.282511931411854,16.05390342991583,165766.0307245514,72.35223777012267,0.02528014271560814
31.700652706949555,16.25315696294171,167981.7586941257,73.07883589349966,0.02752508597462295
32.10279754332173,16.413187696715045,170112.72418206185,73.91258802976533,0.02989675854723344
32.5268773340917,16.59821298726051,172359.9229933519,74.66750486240824,0.03239765505510928
32.927204613262305,16.78119395186685,174481.25724567694,75.3267011728297,0.03503015024248734
33.342495311515584,16.97455936743038,176681.88265572107,76.05822074774369,0.03779648894064899
33.738960732010916,17.163005763146323,178782.75291892583,76.9026482700446,0.0406987751043154
34.113563206646496,17.31053816509748,180767.7714320198,77.75634510029265,0.04373896145330954
34.47765588574986,17.460375295234645,182697.0985385885,78.69436895384044,0.046918841055864
