'time','co','nox','so2','pm'
time,co,nox,so2,pm
00:00:00,0.0,0.0,0.0,0.0
00:04:48,0.00176333175541697,0.00030409989288191,0.00003304277973758,0.00004871082197284
00:09:52,0.00319307654438597,0.00054526395325626,0.00005920380116113,0.0000882065343753
00:14:56,0.00526052341503351,0.0008787482193699,0.00009525470927405,0.00014531832638214
00:20:00,0.00635806707551726,0.00102184008646728,0.00011043281615297,0.00017563721203086
00:24:48,0.00763990998744932,0.00124943348178303,0.00013521487768024,0.00021104723722236
00:29:52,0.00920487148001471,0.00151383158241888,0.00016389977373154,0.00025427821767996
00:34:56,0.01015381017532777,0.00168213812215975,0.00018222484789562,0.00028049199379358
00:40:00,0.01060683000907333,0.00176218363710263,0.00019093777330322,0.0002930063538418
00:44:48,0.01071268534693018,0.00177779294227575,0.00019261264987656,0.00029593053444559
00:49:52,0.01117789140723989,0.00186497453739155,0.00020214128616634,0.00030878153058674
00:54:56,0.01159640342181897,0.00197569678657843,0.00021448082663606,0.00032034263596185
01:00:00,0.01162340437317321,0.00199763403349503,0.00021700287797796,0.00032108851859594
01:04:48,0.01202726079583468,0.00205537693320705,0.00022318173687254,0.0003322447733656
01:09:52,0.01235189507615208,0.0021373429496783,0.00023229604890425,0.00034121257116442
