time,value
2019-07-18 22:00,26.7
2019-07-18 23:00,31.4
2019-07-19 00:00,31.7
2019-07-19 01:00,33.7
2019-07-19 02:00,49.2
2019-07-19 03:00,24.7
2019-07-19 04:00,23.8
2019-07-19 05:00,41.2
2019-07-19 06:00,29.9
2019-07-19 07:00,38.1
2019-07-19 08:00,62.2
2019-07-19 09:00,56.6
2019-07-19 10:00,63.6
2019-07-19 11:00,68.8
2019-07-19 12:00,67.7
2019-07-19 13:00,56.5
2019-07-19 14:00,52.8
2019-07-19 15:00,58.0
2019-07-19 16:00,49.7
2019-07-19 17:00,63.5
2019-07-19 18:00,62.7
2019-07-19 19:00,77.1
2019-07-19 20:00,55.4
2019-07-19 21:00,44.8
2019-07-19 22:00,52.7
2019-07-19 23:00,50.8
2019-07-20 00:00,71.1
2019-07-20 01:00,81.9
2019-07-20 02:00,51.6
2019-07-20 03:00,41.5
2019-07-20 04:00,66.4
2019-07-20 05:00,46.6
2019-07-20 06:00,23.5
2019-07-20 07:00,42.5
2019-07-20 08:00,64.2
2019-07-20 09:00,48.5
2019-07-20 10:00,55.8
2019-07-20 11:00,39.5
2019-07-20 12:00,38.8
2019-07-20 13:00,54.3
2019-07-20 14:00,33.8
2019-07-20 15:00,42.9
2019-07-20 16:00,25.4
2019-07-20 17:00,29.3
2019-07-20 18:00,34.2
2019-07-20 19:00,61.7
2019-07-20 20:00,76.6
2019-07-20 21:00,64.7
2019-07-20 22:00,82.0
2019-07-20 23:00,78.7
2019-07-21 00:00,58.3
2019-07-21 01:00,50.5
2019-07-21 02:00,38.0
2019-07-21 03:00,63.7
2019-07-21 04:00,44.8
2019-07-21 05:00,77.8
2019-07-21 06:00,54.0
2019-07-21 07:00,43.3
2019-07-21 08:00,34.0
2019-07-21 09:00,55.7
2019-07-21 10:00,36.0
2019-07-21 11:00,77.7
2019-07-21 12:00,58.0
2019-07-21 13:00,44.7
2019-07-21 14:00,41.7
2019-07-21 15:00,71.4
2019-07-21 16:00,37.9
