Mean AQI,Stdv AQI,Sum AQI,Mean max on interval,Mean min on interval
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.709976062474303,1.473000686187194,3762.1631550513316,6.641293698844471,0.0
5.363793901753737,6.612195930765798,28422.74388539305,18.35560336073925,0.0
22.628288991031276,33.562106287594446,119907.30336347474,57.99299676929145,0.0
140.80195226254375,194.6914190078971,746109.5450392193,225.43379431182348,0.0
797.6726529772603,1143.7297080965748,4226867.388126503,1043.4730281770385,0.0
5182.468535297478,7134.784619428601,27461900.768541336,5616.518853645912,0.0
31216.092554473402,44070.50120976548,165414074.44615456,29937.43411593879,0.0
204164.70304096563,281528.2809515609,1081868761.4140768,180323.07909811378,0.0
1267653.6247162786,1776934.384867664,6717296557.37156,1004865.3996020253,0.0
8322403.384430314,11465587.696559716,44100415534.09624,6144379.235996856,0.0
52649166.40148635,73396866.57911128,278987932761.4762,35325637.072079785,0.0
345717302.96825224,478096131.71696866,1831955988428.7686,215857863.63197523,0.0
2238360174.206647,3091276297.300322,11861070563121.021,1274083618.5775435,0.0
14584384880.22395,20281813169.778675,77282655480306.7,8006884307.812188,0.0
96282628669.67497,131932232378.98357,510201649320607.7,47388692351.80841,0.0
623758088610.179,871812132102.6075,3305294111545338.0,304365053815.3153,0.0
4192648299324.4546,5707768247214.76,22216843338120284.0,1852586253177.8364,0.0
26987735873254.89,37904298890022.65,143008012392377664.0,11761822258764.598,0.0
183541112802941.34,249157914084670.44,972584356742786180.0,73173627640751.55,0.0
1177426247055312.0,1661147357992698.8,6239181683146098700.0,491662364156524.5,0.0
8070838551006276.0,10969336513730636.0,42767373481782256000.0,3250404820649185.0,0.0
51833010815901168.0,73259968594470704.0,274663124313460300000.0,21712432450605220.0,0.0
357013833368293820.0,486112052022694590.0,1891816303018589000000.0,144408827154676576.0,0.0
2296110533190640130.0,3249827635965719000.0,12167089715377202000000.0,959045016026286340.0,0.0
15874026456788967000.0,21655173569215336000.0,84116466194524740000000.0,6444773500897997800.0,0.0
102183718864792580000.0,144936078785298870000.0,541471526264535950000000.0,42921379322011870000.0,0.0
709266584747052800000.0,969272693437764600000.0,3758403632574633000000000.0,288629839289464060000.0,0.0
4566992809720157300000.0,6496201499280404000000.0,24200494898707115000000000.0,1932777941222748800000.0,0.0
31855227837871215000000.0,43569831357351910000000.0,168800852312879560000000000.0,12942048078352288000000.0,0.0
204796392228668380000000.0,292385718421020940000000.0,1085216082419713800000000000.0,87028200990869900000000.0,0.0
1436770653495826000000000.0,1965804671014384200000000.0,7613447692874382000000000000.0,580768813661805200000000.0,0.0
9224029893873603000000000.0,13202101260544977000000000.0,48878134407636220000000000000.0,3925393673913275600000000.0,0.0
65071082116047690000000000.0,89098619689070440000000000.0,344811664132936700000000000000.0,26094567688609578000000000.0,0.0
416560740609419200000000000.0,598860418717607240000000000.0,2207355364489312200000000000000.0,178121960179089740000000000.0,0.0
2965434230687058300000000000.0,4061546156674830700000000000.0,15713835988410721000000000000000.0,1183492069793688200000000000.0,0.0
18871051681233698000000000000.0,27332623167628707000000000000.0,99997702858857360000000000000000.0,8113900172406559000000000000.0,0.0
