Mean AQI,Stdv AQI,Sum AQI,Mean max on interval,Mean min on interval
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.6951762044272256,1.5147677348112374,3683.7387072598685,4.402697185980959,0.0
5.575433977423092,6.514435857367469,29544.224646364964,14.33469879755377,0.0
22.558466137355992,34.03206536707208,119537.3120618494,61.56240546189913,0.0
144.50988631062663,194.1433974569968,765757.8875600105,232.81424337682674,0.0
793.252383056362,1135.533395757653,4203444.377815662,1083.2810705888764,0.0
5215.63011999549,6843.053685136062,27637624.0058561,4730.23368216716,0.0
30196.935561345566,41281.658172330186,160013561.53957015,23830.727465169217,0.0
200526.08061233125,256742.59293041317,1062587701.1647433,127267.62400476911,0.0
1192771.8392624273,1575396.1841420436,6320497976.251602,725029.7811120169,0.0
7980488.259952446,10062924.73892851,42288607289.488014,4016233.096049564,0.0
48398298.50973522,62772404.4627275,256462583803.0869,23734268.068383165,0.0
327517675.0583393,407818286.63074255,1735516160134.14,140644435.34356335,0.0
2009901489.2136905,2592982333.7030973,10650467991343.346,861218525.8101748,0.0
13702050987.127512,17075405495.707617,72607168180788.69,5212748039.347492,0.0
85351674698.24335,109761065323.69704,452278524225991.5,32338657216.072468,0.0
581823745472.2897,728768183962.1829,3083084027257663.0,203709935359.42194,0.0
3679526561229.4688,4713598533037.568,19497811247954956.0,1295773908650.7979,0.0
24963972164906.188,31493693960969.51,132284088501837888.0,8153620340753.811,0.0
159944965718189.84,204729857697322.53,847548373340688000.0,52289910746920.04,0.0
1084746203721565.5,1372469312029874.0,5748070133520575500.0,342835339229887.8,0.0
6977352455992353.0,8973235549545522.0,36972990664303480000.0,2323128502378059.5,0.0
47425650469200040.0,60288361056254744.0,251308521836291030000.0,15187324599436484.0,0.0
306768782357907710.0,396052837282783230.0,1625567777714553000000.0,103156869094596480.0,0.0
2085916975808080380.0,2668309908743567900.0,11053274054807018000000.0,675522867587931140.0,0.0
13572026551464182000.0,17599729884475017000.0,71918168696208700000000.0,4583780640244533800.0,0.0
92383893335958750000.0,118907719034723190000.0,489542250787245400000000.0,30076641970476440000.0,0.0
604728899733585400000.0,786287033146556300000.0,3204458439688269000000000.0,203931183696757230000.0,0.0
4110578029785744000000.0,5322786354699552000000.0,21781952979834660000000000.0,1341240852069120500000.0,0.0
27020400611435943000000.0,35290842714111930000000.0,143181102839999050000000000.0,9094453459641102000000.0,0.0
183764277985883680000000.0,239084524056908200000000.0,973766909047197600000000000.0,59944094107242600000000.0,0.0
1209677305471620700000000.0,1589856270412395700000000.0,6410080041694118000000000000.0,406371221691275540000000.0,0.0
8239207949896886000000000.0,10777846972286718000000000.0,43659562926503600000000000000.0,2699817465564511700000000.0,0.0
54290727399482280000000000.0,71891195705300620000000000.0,287686564489856570000000000000.0,18204674993881740000000000.0,0.0
370638826082856250000000000.0,488024272630537440000000000.0,1964015139413055200000000000000.0,121948922551104420000000000.0,0.0
2451803276780756700000000000.0,3261085323452362300000000000.0,12992105563661230000000000000000.0,816988182475109600000000000.0,0.0
16741027935633196000000000000.0,22195558092677066000000000000.0,88710707030920300000000000000000.0,5513850068443400000000000000.0,0.0
