Mean AQI,Stdv AQI,Sum AQI,Mean max on interval,Mean min on interval
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.7440781766013588,1.4733744065302703,3942.8702578106,3.723870718976748,0.0
6.968105208333932,6.663957014044251,36923.989498961506,12.675517154409732,0.0
55.4003618358233,44.801501911614935,293566.51736802765,62.52547424895825,0.0
438.47198284929374,329.5385048458168,2323463.0371184074,307.30922940919413,0.0
3444.436913069625,2484.588126740323,18252071.202355944,1852.019902130469,0.0
27111.37765499567,18943.60199685491,143663190.19382206,11428.865996509237,0.0
213297.20478771743,145435.75612910237,1130261888.1701148,75546.71270588652,0.0
1679562.5087406905,1121494.3723960312,8900001733.81692,517331.01842455927,0.0
13228687.453702053,8676296.553946178,70098814817.16718,3594797.3146392186,10.241905170613991
104239793.36401777,67284714.04998647,552366665035.9302,25405550.673484057,411.8290748305756
821619666.9996737,522769633.59346527,4353762615431.271,181934689.79829982,8056.972177080329
6477855190.084161,4067717252.905722,34326154652255.97,1312243178.5753162,122960.60296209839
51084151669.490555,31689630502.637466,270694919696630.44,9528739922.214571,1592042.8498471156
402926835792.0167,247128131434.16077,2135109302861896.8,69561981537.69305,18639641.513540458
3178606144529.8955,1928850185363.975,16843433959863916.0,511020992835.3413,202769951.3495602
25078920493554.344,15065900121421.447,132893199695344464.0,3773039642194.3423,2092540104.950678
197894449883744.66,117752833354236.23,1048642689933963010.0,27955328888099.01,20735815074.31484
1561724009357287.0,920863348728501.5,8275575525584263200.0,207769017520777.2,199130501735.94922
12325792112492288.0,7205103876201715.0,65314372404096640000.0,1548498106541586.8,1864839809744.924
97288244433845664.0,56400753687154440.0,515530407254948200000.0,12125388566612888.0,17927226900293.055
767956549439879810.0,441683321542166910.0,4069401755481923400000.0,94993636851937408.0,169116526639633.7
6062337987899785200.0,3460215313234225200.0,32124328997880960000000.0,744322741024993150.0,1570127648101601.5
47859464090306380000.0,27117399240799416000.0,253607300214533500000000.0,5832972855133943800.0,14379965492411654.0
377848007688741600000.0,212585794592882800000.0,2002216592742641600000000.0,45718054609079560000.0,130154223103911712.0
2983223987094358600000.0,1667061647123359500000.0,15808103907613007000000000.0,358394761518885800000.0,1165970220613445380.0
23554404406993336000000.0,13076495878851704000000.0,124814788952657680000000000.0,2810064874812253000000.0,10351000932969110000.0
185983456410238900000000.0,102599551628876280000000.0,985526335517855900000000000.0,22037118985193050000000.0,91156902133228900000.0
1468557763163093400000000.0,805205592340562400000000.0,7781887587001231000000000000.0,172855926602625280000000.0,797049149556263600000.0
11596343801455330000000000.0,6320754373749861000000000.0,61449025803911800000000000000.0,1356958322924272600000000.0,6924497967014968000000.0
91572152445790490000000000.0,49627914888984130000000000.0,485240835810243800000000000000.0,10655416299060053000000000.0,59809859351090900000000.0
723131285286672600000000000.0,389738058165977400000000000.0,3831872680734078000000000000000.0,83688102947719120000000000.0,513895573569057300000000.0
5710596600417447000000000000.0,3061289632136175000000000000.0,30260451385612055000000000000000.0,657414717754387800000000000.0,4394405499418733000000000.0
45097838864336820000000000000.0,24050071913164830000000000000.0,238973448142120800000000000000000.0,5165278702370832000000000000.0,37413511950314525000000000.0
