step,pollutant_decay_rate,pollutant_diffusion,Mean AQI,Stdv AQI,Sum AQI,Mean max on interval
16.0,0.00999999977648258,0.05,0.0,0.0,0.0,0.0
16.0,0.00999999977648258,0.05,0.00826186021223705,0.01151715843767765,42.96167310363265,0.08987663616973
16.0,0.00999999977648258,0.05,0.03825294849057214,0.03829193059549243,198.91533215097513,0.2120803976920955
16.0,0.00999999977648258,0.05,0.01947678198744274,0.02143908962822902,101.27926633470226,0.2728060652495472
16.0,0.00999999977648258,0.05,0.02464647964274354,0.0274478930574412,128.1616941422664,0.2938317291779221
16.0,0.00999999977648258,0.05,0.02214875249575303,0.02532836414815184,115.17351297791575,0.307536990745407
16.0,0.00999999977648258,0.05,0.0210832087434107,0.02381705186828469,109.63268546573562,0.30837098072184993
16.0,0.00999999977648258,0.05,0.0200460551700145,0.02137503554750479,104.23948688407539,0.3068530474216786
16.0,0.00999999977648258,0.05,0.0211159429799969,0.02403699593852002,109.80290349598388,0.3121325632184832
16.0,0.00999999977648258,0.05,0.01950413140886459,0.02110037669141929,101.42148332609585,0.31237601507630897
16.0,0.00999999977648258,0.05,0.02043542720455477,0.02201663516110078,106.26422146368483,0.312853672763892
16.0,0.00999999977648258,0.05,0.01952554842855337,0.0210675246762838,101.53285182847753,0.3129963920040472
16.0,0.00999999977648258,0.05,0.01786392334823811,0.01980466999999847,92.89240141083816,0.3107625004122522
16.0,0.00999999977648258,0.05,0.02032464798175334,0.02454126833519551,105.68816950511736,0.31172449284680903
16.0,0.00999999977648258,0.05,0.01802958622148202,0.01977547106173282,93.75384835170648,0.30800925999855444
16.0,0.00999999977648258,0.05,0.01976213209414526,0.02161601539123586,102.76308688955532,0.30705469218934994
16.0,0.00999999977648258,0.05,0.01794729533983471,0.02040364225195647,93.32593576714052,0.305431971858745
16.0,0.00999999977648258,0.05,0.01915295206315235,0.02071529020996559,99.59535072839219,0.3044396319131004
16.0,0.00999999977648258,0.05,0.01883327783802195,0.02052441320245434,97.93304475771416,0.30180458718915865
16.0,0.00999999977648258,0.05,0.01941799946845977,0.02138322510446047,100.9735972359908,0.3025746302998469
16.0,0.00999999977648258,0.05,0.01763135032042141,0.01929815786205396,91.68302166619134,0.29989969279894996
16.0,0.00999999977648258,0.05,0.01818112728438814,0.02150650256225869,94.54186187881834,0.3120206807603958
16.0,0.00999999977648258,0.05,0.01752381905124023,0.02021403969172066,91.12385906644919,0.31865380145476946
16.0,0.00999999977648258,0.05,0.01669656000018288,0.01891759677548935,86.82211200095097,0.3086020202902365
16.0,0.00999999977648258,0.05,0.01805398504946263,0.02122551213428096,93.88072225720568,0.30209205212484025
16.0,0.00999999977648258,0.05,0.01780157087667121,0.01920420218565491,92.56816855869027,0.29689029085101715
16.0,0.00999999977648258,0.05,0.01641253842688846,0.01777632301162563,85.34519981982,0.2892456629817567
16.0,0.00999999977648258,0.05,0.01763817060917319,0.02121643296066424,91.71848716770056,0.28790036984416784
16.0,0.00999999977648258,0.05,0.01745493955721255,0.01907370285981964,90.76568569750528,0.2837133899131172
16.0,0.00999999977648258,0.05,0.01703537783278343,0.01930977800080009,88.58396473047384,0.27671715638035826
16.0,0.00999999977648258,0.05,0.01777610463783206,0.01942960207725014,92.43574411672668,0.27091373043615896
16.0,0.00999999977648258,0.05,0.01798643027960902,0.01948462082752268,93.5294374539669,0.2645175603717756
16.0,0.00999999977648258,0.05,0.01735333587663814,0.01885921200091722,90.23734655851831,0.260082775527304
16.0,0.00999999977648258,0.05,0.01697825692695634,0.01853767156357473,88.28693602017299,0.25701572175426207
16.0,0.00999999977648258,0.05,0.01764847717203795,0.01967613093750795,91.77208129459736,0.2533079998109812
16.0,0.00999999977648258,0.05,0.01682282991955498,0.01952582631257312,87.47871558168589,0.25178480148712695
16.0,0.00999999977648258,0.05,0.01756231171271152,0.01901636323169532,91.3240209060999,0.24911018398716728
16.0,0.00999999977648258,0.05,0.01612492798560434,0.01735533699676708,83.84962552514259,0.2485310557191812
16.0,0.00999999977648258,0.05,0.01744406207861488,0.01950923165573317,90.70912280879736,0.24600404002850498
16.0,0.00999999977648258,0.05,0.01838808563648423,0.02042272396348316,95.618045309718,0.24710788063254754
16.0,0.00999999977648258,0.05,0.01679273564482154,0.01813906503651419,87.32222535307199,0.24394642220731103
16.0,0.00999999977648258,0.05,0.01629131977822699,0.01869579692648354,84.71486284678035,0.24640351273066421
16.0,0.00999999977648258,0.05,0.01613975077338037,0.01708211371000072,83.9267040215779,0.24474299393378948
16.0,0.00999999977648258,0.05,0.01692531415005289,0.01732028601722378,88.01163358027503,0.23832965648009918
16.0,0.00999999977648258,0.05,0.01786615348563552,0.01775877401794492,92.9039981253047,0.236187410825762
