time,value
2019-07-12 01:00,33.5
2019-07-12 02:00,41.3
2019-07-12 03:00,39.5
2019-07-12 04:00,35.8
2019-07-12 05:00,34.5
2019-07-12 06:00,32.7
2019-07-12 07:00,61.3
2019-07-12 08:00,40.5
2019-07-12 09:00,54.3
2019-07-12 10:00,55.3
2019-07-12 11:00,45.7
2019-07-12 12:00,43.1
2019-07-12 13:00,39.5
2019-07-12 14:00,35.6
2019-07-12 15:00,36.3
2019-07-12 16:00,42.2
2019-07-12 17:00,24.3
2019-07-12 18:00,28.5
2019-07-12 19:00,35.4
2019-07-12 20:00,40.7
2019-07-12 21:00,55.9
2019-07-12 22:00,51.2
2019-07-12 23:00,47.1
2019-07-13 00:00,66.3
2019-07-13 01:00,46.5
2019-07-13 02:00,52.5
2019-07-13 03:00,41.9
2019-07-13 04:00,49.5
2019-07-13 05:00,30.1
2019-07-13 06:00,39.7
2019-07-13 07:00,44.2
2019-07-13 08:00,51.1
2019-07-13 09:00,32.2
2019-07-13 10:00,39.4
2019-07-13 11:00,53.2
2019-07-13 12:00,18.7
2019-07-13 13:00,27.1
2019-07-13 14:00,21.0
2019-07-13 15:00,46.3
2019-07-13 16:00,32.1
2019-07-13 17:00,30.3
2019-07-13 18:00,43.4
2019-07-13 19:00,39.7
2019-07-13 20:00,51.6
2019-07-13 21:00,58.4
2019-07-13 22:00,60.7
2019-07-13 23:00,59.4
2019-07-14 00:00,58.5
2019-07-14 01:00,53.0
2019-07-14 02:00,42.1
2019-07-14 03:00,52.6
2019-07-14 04:00,54.8
2019-07-14 05:00,48.4
2019-07-14 06:00,67.3
2019-07-14 07:00,60.5
2019-07-14 08:00,54.3
2019-07-14 09:00,38.3
2019-07-14 10:00,49.7
2019-07-14 11:00,62.0
2019-07-14 12:00,52.8
2019-07-14 13:00,42.2
2019-07-14 14:00,33.9
2019-07-14 15:00,44.92
2019-07-14 16:00,36.04
2019-07-14 17:00,42.14
2019-07-14 18:00,52.43
2019-07-14 19:00,50.81
2019-07-14 20:00,41.42
2019-07-14 21:00,38.0
2019-07-14 22:00,43.3
2019-07-14 23:00,61.6
2019-07-15 00:00,37.2
2019-07-15 01:00,28.7
2019-07-15 02:00,72.8
2019-07-15 03:00,68.3
2019-07-15 04:00,114.1
2019-07-15 05:00,67.0
2019-07-15 06:00,96.0
2019-07-15 07:00,57.1
2019-07-15 08:00,46.5
2019-07-15 09:00,51.2
2019-07-15 10:00,48.2
2019-07-15 11:00,53.1
2019-07-15 12:00,45.6
2019-07-15 13:00,40.2
2019-07-15 14:00,37.4
2019-07-15 15:00,46.3
2019-07-15 16:00,52.2
2019-07-15 17:00,40.3
2019-07-15 18:00,30.5
2019-07-15 19:00,35.4
2019-07-15 20:00,28.7
2019-07-15 21:00,30.0
2019-07-15 22:00,17.1
2019-07-15 23:00,34.5
2019-07-16 00:00,19.5
2019-07-16 01:00,38.1
2019-07-16 02:00,21.4
2019-07-16 03:00,59.3
2019-07-16 04:00,83.1
2019-07-16 05:00,114.8
2019-07-16 06:00,63.4
2019-07-16 07:00,81.1
