time,value
2019-07-20 22:00,111.5
2019-07-20 23:00,103.3
2019-07-21 00:00,76.7
2019-07-21 01:00,88.7
2019-07-21 02:00,60.4
2019-07-21 03:00,71.0
2019-07-21 04:00,57.6
2019-07-21 05:00,76.3
2019-07-21 06:00,70.0
2019-07-21 07:00,73.3
2019-07-21 08:00,87.8
2019-07-21 09:00,50.6
2019-07-21 10:00,92.2
2019-07-21 11:00,78.4
2019-07-21 12:00,70.4
2019-07-21 13:00,82.6
2019-07-21 14:00,75.3
2019-07-21 15:00,84.3
2019-07-21 16:00,82.0
2019-07-21 17:00,63.6
2019-07-21 18:00,53.0
2019-07-21 19:00,51.6
2019-07-21 20:00,42.1
2019-07-21 21:00,39.4
2019-07-21 22:00,64.8
2019-07-21 23:00,44.2
2019-07-22 00:00,77.5
2019-07-22 01:00,76.3
2019-07-22 02:00,86.3
2019-07-22 03:00,78.0
2019-07-22 04:00,77.0
2019-07-22 05:00,37.3
2019-07-22 06:00,44.5
2019-07-22 07:00,102.9
2019-07-22 08:00,83.6
2019-07-22 09:00,91.4
2019-07-22 10:00,100.6
2019-07-22 11:00,111.5
2019-07-22 12:00,86.7
2019-07-22 13:00,77.9
2019-07-22 14:00,68.6
2019-07-22 15:00,78.8
2019-07-22 16:00,65.9
2019-07-22 17:00,81.2
2019-07-22 18:00,79.5
2019-07-22 19:00,95.3
2019-07-22 20:00,75.6
2019-07-22 21:00,81.9
2019-07-22 22:00,70.3
2019-07-22 23:00,72.4
2019-07-23 00:00,64.4
2019-07-23 01:00,56.6
2019-07-23 02:00,64.1
2019-07-23 03:00,63.3
2019-07-23 04:00,50.3
2019-07-23 05:00,52.6
2019-07-23 06:00,68.2
2019-07-23 07:00,69.5
2019-07-23 08:00,75.8
2019-07-23 09:00,54.6
2019-07-23 10:00,68.9
2019-07-23 11:00,84.3
2019-07-23 12:00,80.2
2019-07-23 13:00,52.8
2019-07-23 14:00,69.1
2019-07-23 15:00,71.2
2019-07-23 16:00,41.1
2019-07-23 17:00,56.7
2019-07-23 18:00,61.6
2019-07-23 19:00,72.0
2019-07-23 20:00,69.1
2019-07-23 21:00,86.6
2019-07-23 22:00,78.3
2019-07-23 23:00,70.3
2019-07-24 00:00,67.7
2019-07-24 01:00,70.1
2019-07-24 02:00,67.3
2019-07-24 03:00,61.1
2019-07-24 04:00,71.4
2019-07-24 05:00,66.3
2019-07-24 06:00,63.8
2019-07-24 07:00,86.1
2019-07-24 08:00,79.3
2019-07-24 09:00,104.2
2019-07-24 10:00,94.9
2019-07-24 11:00,89.7
2019-07-24 12:00,87.0
2019-07-24 13:00,82.3
2019-07-24 14:00,63.2
2019-07-24 15:00,60.4
2019-07-24 16:00,72.5
2019-07-24 17:00,79.3
2019-07-24 18:00,85.3
2019-07-24 19:00,62.1
2019-07-24 20:00,48.4
2019-07-24 21:00,68.6
2019-07-24 22:00,66.3
2019-07-24 23:00,77.4
2019-07-25 00:00,55.2
2019-07-25 01:00,61.4
2019-07-25 02:00,64.5
2019-07-25 03:00,115.2
2019-07-25 04:00,98.1
2019-07-25 05:00,80.1
2019-07-25 06:00,65.3
2019-07-25 07:00,89.8
2019-07-25 08:00,69.8
2019-07-25 09:00,59.7
2019-07-25 10:00,68.7
2019-07-25 11:00,64.9
2019-07-25 12:00,81.3
2019-07-25 13:00,84.3
2019-07-25 14:00,63.6
2019-07-25 15:00,69.3
2019-07-25 16:00,67.5
2019-07-25 17:00,64.1
2019-07-25 18:00,80.9
2019-07-25 19:00,70.0
2019-07-25 20:00,56.4
2019-07-25 21:00,94.2
2019-07-25 22:00,71.9
2019-07-25 23:00,85.4
2019-07-26 00:00,67.2
2019-07-26 01:00,97.7
2019-07-26 02:00,121.1
2019-07-26 03:00,140.7
2019-07-26 04:00,134.8
2019-07-26 05:00,95.1
2019-07-26 06:00,101.8
2019-07-26 07:00,138.4
2019-07-26 08:00,153.8
2019-07-26 09:00,174.8
2019-07-26 10:00,167.8
2019-07-26 11:00,146.8
2019-07-26 12:00,122.5
2019-07-26 13:00,98.8
2019-07-26 14:00,101.7
2019-07-26 15:00,95.2
2019-07-26 16:00,76.2
2019-07-26 17:00,60.8
2019-07-26 18:00,65.3
2019-07-26 19:00,72.3
2019-07-26 20:00,50.2
2019-07-26 21:00,60.0
2019-07-26 22:00,61.7
2019-07-26 23:00,85.1
2019-07-27 00:00,56.9
2019-07-27 01:00,73.3
