time,value
2019-07-19 19:00,51.6
2019-07-19 20:00,48.0
2019-07-19 21:00,22.9
2019-07-19 22:00,68.8
2019-07-19 23:00,40.1
2019-07-20 00:00,43.9
2019-07-20 01:00,17.2
2019-07-20 02:00,22.9
2019-07-20 03:00,11.5
2019-07-20 04:00,21.0
2019-07-20 05:00,36.3
2019-07-20 06:00,59.2
2019-07-20 07:00,40.1
2019-07-20 08:00,30.6
2019-07-20 09:00,47.7
2019-07-20 10:00,56.3
2019-07-20 11:00,34.2
2019-07-20 12:00,48.3
2019-07-20 13:00,38.6
2019-07-20 14:00,47.1
2019-07-20 15:00,38.4
2019-07-20 16:00,41.3
2019-07-20 17:00,50.5
2019-07-20 18:00,49.7
2019-07-20 19:00,42.0
2019-07-20 20:00,32.5
2019-07-20 21:00,52.3
2019-07-20 22:00,38.9
2019-07-20 23:00,48.6
2019-07-21 00:00,45.2
2019-07-21 01:00,51.4
2019-07-21 02:00,53.8
2019-07-21 03:00,56.2
2019-07-21 04:00,50.0
2019-07-21 05:00,45.1
2019-07-21 06:00,41.6
2019-07-21 07:00,44.7
2019-07-21 08:00,35.5
2019-07-21 09:00,42.7
2019-07-21 10:00,38.5
2019-07-21 11:00,37.5
2019-07-21 12:00,42.4
2019-07-21 13:00,40.3
2019-07-21 14:00,36.7
2019-07-21 15:00,121.6
2019-07-21 16:00,140.1
2019-07-21 17:00,85.4
2019-07-21 18:00,36.3
2019-07-21 19:00,22.9
2019-07-21 20:00,32.5
2019-07-21 21:00,45.4
2019-07-21 22:00,47.8
2019-07-21 23:00,33.5
2019-07-22 00:00,47.8
2019-07-22 01:00,62.0
2019-07-22 02:00,38.3
2019-07-22 03:00,43.0
2019-07-22 04:00,43.0
2019-07-22 05:00,14.3
2019-07-22 06:00,38.3
2019-07-22 07:00,50.1
2019-07-22 08:00,47.3
2019-07-22 09:00,40.2
2019-07-22 10:00,48.8
2019-07-22 11:00,38.4
2019-07-22 12:00,48.2
2019-07-22 13:00,32.4
2019-07-22 14:00,22.1
2019-07-22 15:00,34.2
2019-07-22 16:00,33.9
2019-07-22 17:00,45.3
2019-07-22 18:00,52.7
2019-07-22 19:00,45.6
2019-07-22 20:00,38.1
2019-07-22 21:00,57.3
2019-07-22 22:00,34.4
2019-07-22 23:00,30.6
2019-07-23 00:00,21.0
2019-07-23 01:00,28.6
2019-07-23 02:00,42.0
2019-07-23 03:00,19.1
2019-07-23 04:00,34.4
2019-07-23 05:00,28.6
2019-07-23 06:00,30.6
2019-07-23 07:00,41.7
2019-07-23 08:00,43.2
2019-07-23 09:00,9.6
2019-07-23 10:00,56.4
2019-07-23 11:00,34.2
2019-07-23 12:00,42.7
2019-07-23 13:00,38.5
2019-07-23 14:00,40.2
2019-07-23 15:00,31.1
2019-07-23 16:00,41.8
2019-07-23 17:00,50.7
2019-07-23 18:00,47.7
2019-07-23 19:00,50.6
2019-07-23 20:00,65.3
2019-07-23 21:00,56.4
2019-07-23 22:00,82.9
2019-07-23 23:00,60.9
2019-07-24 00:00,27.6
2019-07-24 01:00,44.4
2019-07-24 02:00,49.9
2019-07-24 03:00,38.9
2019-07-24 04:00,38.9
2019-07-24 05:00,49.9
2019-07-24 06:00,71.9
2019-07-24 07:00,29.4
2019-07-24 08:00,42.3
2019-07-24 09:00,36.1
2019-07-24 10:00,46.7
2019-07-24 11:00,37.9
2019-07-24 12:00,42.7
2019-07-24 13:00,38.5
2019-07-24 14:00,40.2
2019-07-24 15:00,37.9
2019-07-24 16:00,43.2
2019-07-24 17:00,16.4
2019-07-24 18:00,44.8
2019-07-24 19:00,56.3
2019-07-24 20:00,40.1
2019-07-24 21:00,30.2
2019-07-24 22:00,13.4
2019-07-24 23:00,22.9
2019-07-25 00:00,13.4
2019-07-25 01:00,3.8
2019-07-25 02:00,3.8
2019-07-25 03:00,9.5
2019-07-25 04:00,3.8
2019-07-25 05:00,11.5
2019-07-25 06:00,53.5
2019-07-25 07:00,33.9
2019-07-25 08:00,50.6
2019-07-25 09:00,43.5
2019-07-25 10:00,48.2
2019-07-25 11:00,38.4
2019-07-25 12:00,42.3
2019-07-25 13:00,40.1
2019-07-25 14:00,36.2
2019-07-25 15:00,44.6
2019-07-25 16:00,40.2
2019-07-25 17:00,44.8
2019-07-25 18:00,56.3
2019-07-25 19:00,72.6
2019-07-25 20:00,34.7
2019-07-25 21:00,88.5
2019-07-25 22:00,77.0
2019-07-25 23:00,50.3
2019-07-26 00:00,43.5
2019-07-26 01:00,25.4
2019-07-26 02:00,50.3
2019-07-26 03:00,57.9
2019-07-26 04:00,69.4
2019-07-26 05:00,14.0
2019-07-26 06:00,80.8
2019-07-26 07:00,41.0
2019-07-26 08:00,51.6
2019-07-26 09:00,60.2
2019-07-26 10:00,56.8
2019-07-26 11:00,39.6
2019-07-26 12:00,56.4
2019-07-26 13:00,49.2
2019-07-26 14:00,41.6
2019-07-26 15:00,85.2
2019-07-26 16:00,80.3
2019-07-26 17:00,90.3
2019-07-26 18:00,43.3
2019-07-26 19:00,49.3
2019-07-26 20:00,58.9
2019-07-26 21:00,34.8
2019-07-26 22:00,26.7
2019-07-26 23:00,43.9
2019-07-27 00:00,13.4
2019-07-27 01:00,19.5
2019-07-27 02:00,19.1
2019-07-27 03:00,15.7
2019-07-27 04:00,17.6
2019-07-27 05:00,17.6
2019-07-27 06:00,13.4
2019-07-27 07:00,21.0
2019-07-27 08:00,40.1
2019-07-27 09:00,52.3
2019-07-27 10:00,67.2
2019-07-27 11:00,89.3
2019-07-27 12:00,62.4
2019-07-27 13:00,50.3
2019-07-27 14:00,63.7
2019-07-27 15:00,31.1
2019-07-27 16:00,41.8
2019-07-27 17:00,50.7
2019-07-27 18:00,42.0
2019-07-27 19:00,28.6
2019-07-27 20:00,32.7
2019-07-27 21:00,46.2
2019-07-27 22:00,36.6
2019-07-27 23:00,31.8
2019-07-28 00:00,28.7
2019-07-28 01:00,28.7
2019-07-28 02:00,52.5
2019-07-28 03:00,25.5
2019-07-28 04:00,28.7
2019-07-28 05:00,30.3
2019-07-28 06:00,30.3
2019-07-28 07:00,30.3
2019-07-28 08:00,38.2
2019-07-28 09:00,50.3
2019-07-28 10:00,61.4
2019-07-28 11:00,41.3
2019-07-28 12:00,35.2
2019-07-28 13:00,40.2
2019-07-28 14:00,51.9
2019-07-28 15:00,82.0
2019-07-28 16:00,73.9
2019-07-28 17:00,105.0
2019-07-28 18:00,114.9
2019-07-28 19:00,63.0
2019-07-28 20:00,93.9
2019-07-28 21:00,45.8
2019-07-28 22:00,66.8
2019-07-28 23:00,40.1
2019-07-29 00:00,42.0
2019-07-29 01:00,36.3
2019-07-29 02:00,30.6
2019-07-29 03:00,24.8
2019-07-29 04:00,22.9
2019-07-29 05:00,26.7
2019-07-29 06:00,52.5
